GeneID,Symbol,GeneInfo,Localization,Process,Function,Combined_casTLE_Effect,Combined_casTLE_Score,Minimum_Effect_Estimate,Maximum_Effect_Estimate,p_value,q_value,direction_note
ENSG00000077044,DGKD,"diacylglycerol kinase, delta 130kDa",cytoplasm|plasma membrane|plasma membrane|cytoplasmic membrane-bounded vesicle|,endocytosis|signal transduction|epidermal growth factor receptor signaling pathway|protein kinase C-activating G-protein coupled receptor signaling pathway|multicellular organismal development|blood coagulation|response to organic substance|protein transport|cell growth|phosphorylation|second-messenger-mediated signaling|platelet activation|diacylglycerol metabolic process|diacylglycerol metabolic process|protein homooligomerization|,NAD+ kinase activity|diacylglycerol kinase activity|diacylglycerol kinase activity|protein binding|ATP binding|diacylglycerol binding|protein homodimerization activity|metal ion binding|protein heterodimerization activity|,1.0,18.8,0.5,1.6,0.00474,0.074568736,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000148444,COMMD3,COMM domain containing 3,,,protein binding|,2.2,18.7,1.7,4.0,0.00487,0.076379756,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000116698,SMG7,SMG7 nonsense mediated mRNA decay factor,nucleus|cytoplasm|cytosol|intermediate filament cytoskeleton|,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay|mRNA export from nucleus|gene expression|RNA metabolic process|mRNA metabolic process|regulation of dephosphorylation|",protein binding|protein phosphatase 2A binding|,0.8,18.7,0.4,1.3,0.00487,0.076379756,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000139737,SLAIN1,"SLAIN motif family, member 1",,,,4.3,18.6,3.4,8.0,0.005,0.077824109,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000205155,PSENEN,presenilin enhancer gamma secretase subunit,endoplasmic reticulum|endoplasmic reticulum membrane|Golgi apparatus|plasma membrane|integral component of plasma membrane|Golgi cisterna membrane|,membrane protein ectodomain proteolysis|Notch signaling pathway|Notch receptor processing|protein processing|membrane protein intracellular domain proteolysis|amyloid precursor protein catabolic process|positive regulation of apoptotic process|positive regulation of catalytic activity|neurotrophin TRK receptor signaling pathway|apoptotic signaling pathway|,protein binding|,1.2,18.6,0.8,2.0,0.005,0.077824109,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000137760,ALKBH8,"alkB, alkylation repair homolog 8 (E. coli)",nucleus|cytosol|,cellular response to DNA damage stimulus|tRNA methylation|oxidation-reduction process|,"RNA binding|protein binding|tRNA (uracil) methyltransferase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors|metal ion binding|",0.8,18.4,0.4,1.6,0.00531,0.0815365,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000131116,ZNF428,zinc finger protein 428,,,metal ion binding|,1.8,18.3,1.1,3.0,0.00546,0.083279198,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000144451,SPAG16,sperm associated antigen 16,nucleus|microtubule|axoneme|,spermatogenesis|cilium assembly|,protein kinase binding|,1.4,18.1,0.8,2.2,0.00579,0.08753218,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000214367,HAUS3,"HAUS augmin-like complex, subunit 3",cytoplasm|centrosome|spindle|microtubule|HAUS complex|,mitotic nuclear division|spindle assembly|centrosome organization|,molecular_function|,2.9,17.9,1.2,4.7,0.00616,0.091774165,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000143952,VPS54,vacuolar protein sorting 54 homolog (S. cerevisiae),GARP complex|,"protein transport|growth|retrograde transport, endosome to Golgi|homeostasis of number of cells within a tissue|musculoskeletal movement|neurofilament cytoskeleton organization|",protein binding|,1.4,17.8,0.7,2.5,0.00635,0.093923271,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
