gene,supporting_layers,n_edge_bearing_layers,is_raghunath_enzyme_class_token,omim_disease_flag,omim_disease_names,omim_phenotype_class,massspec_detected_flag,massspec_a375_lfq,massspec_fm55_lfq,bajpai_hit_flag,bajpai_castle_effect,bajpai_q_value,bajpai_direction,bajpai_orphan_hit,citation,citation_source
ATM,STRING_ours|DArcy_STRING,2,False,True,Ataxia-telangiectasia,Mixed,True,1103831.6666666667,973830.0,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
WNT5B,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CREB3L1,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CREB3,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WNT4,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WNT3,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WNT2B,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CFLAR,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:O15519;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WRAP53,STRING_ours|DArcy_STRING,2,False,True,"Dyskeratosis congenita, autosomal recessive 3",Hyperpigmentation,True,43508.333333333336,11604.7,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
WNT16,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WNT11,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
TICAM1,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
WNT10B,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WNT10A,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
TINF2,STRING_ours|DArcy_STRING,2,False,True,"Dyskeratosis congenita, autosomal dominant 3",Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
ATP7A,STRING_ours|DArcy_STRING,2,False,True,Menkes disease,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
ATP7B,STRING_ours|DArcy_STRING,2,False,True,Wilson disease,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
CREB3L3,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
ATF2,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P15336;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CREB3L4,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
ASIP,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
APAF1,Raghunath|STRING_ours,2,False,False,,,True,19255.9,21242.333333333332,False,,,,False,Entrez:317;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CYP11A1,STRING_ours|DArcy_STRING,2,False,True,"Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete",Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
APC2,STRING_ours|DArcy_STRING,2,False,True,"Intellectual developmental disorder, autosomal recessive 74 (Sotos syndrome 3)",Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
BRCA1,Reactome|DArcy_STRING,2,False,False,,,False,,,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|pmcid
CYCS,Raghunath|STRING_ours,2,False,False,,,True,329796.6666666667,273610.0,False,,,,False,UniProt:P99999;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WNT9B,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
TBX5,STRING_ours|DArcy_STRING,2,False,True,Blue nevus,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
WNT9A,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WNT8B,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WNT8A,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CTLA4,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
WNT7B,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CTC1,STRING_ours|DArcy_STRING,2,False,True,Dyskeratosis congenita,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
CSF2RA,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P15509;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WNT7A,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CSF2,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P04141;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WNT6,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
TNF,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P01375;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CDH3,STRING_ours|DArcy_STRING,2,False,True,"Hypotrichosis with juvenile macular dystrophy (HJMD), ectodermal dysplasia, ectrodactyly, and macular dystrophy",Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
ATXN2,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,True,137920.0,152981.66666666666,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
CAMK2G,KEGG|STRING_ours,2,False,False,,,True,85424.83333333333,62375.0,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CAMK2B,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CAMK2A,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CALML6,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CALML5,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CALML4,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
BLM,STRING_ours|DArcy_STRING,2,False,True,Bloom syndrome,Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
CALML3,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CALM3,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CALM2,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
BLOC1S3,STRING_ours|DArcy_STRING,2,False,True,Hermansky-Pudlak syndrome type 8|neurofibromatosis type 1,Hypopigmentation,False,,,True,1.8,0.00019277,reduces_pigmentation,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
UBASH3A,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
BLOC1S5,STRING_ours|DArcy_STRING,2,False,True,Hermansky-Pudlak syndrome type 11,Hypopigmentation,False,,,True,1.3,0.019583917,reduces_pigmentation,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
BLOC1S6,STRING_ours|DArcy_STRING,2,False,True,Hermansky-Pudlak syndrome type 9,Hypopigmentation,False,,,True,1.0,0.010445575,reduces_pigmentation,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
UBE2E2,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
BRAF,STRING_ours|DArcy_STRING,2,False,True,LEOPARD syndrome 3,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
BTNL2,STRING_ours|DArcy_STRING,2,False,True,Vitiligo|Vogt-Koyanagi-Harada disease,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
BRIP1,STRING_ours|DArcy_STRING,2,False,True,"Fanconi anemia, complementation group J",Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
CAMK2D,KEGG|STRING_ours,2,False,False,,,True,254458.33333333337,220036.66666666663,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
TSC2,STRING_ours|DArcy_STRING,2,False,True,Tuberous sclerosis 2,Hypopigmentation,True,43500.0,32676.666666666668,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
CDH23,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
CASP3,Raghunath|STRING_ours,2,False,False,,,True,144170.5,141555.0,False,,,,False,UniProt:P42574;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WNT1,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WIF1,STRING_ours|DArcy_STRING,2,False,True,Melasma/chloasma,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
BAK1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:Q16611;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
BCL2L11,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
CDC42,Raghunath|STRING_ours,2,False,False,,,True,98579.16666666669,159181.33333333334,False,,,,False,UniProt:P60953;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
BCL2L12,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
CD80,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
TP63,STRING_ours|DArcy_STRING,2,False,True,ADULT syndrome,Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
BID,Raghunath|STRING_ours,2,False,False,,,True,60604.13333333333,104688.5,False,,,,False,UniProt:P55957;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
UVSSA,STRING_ours|DArcy_STRING,2,False,True,UV-sensitive syndrome 3,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
TPCN2,STRING_ours|DArcy_STRING,2,False,True,"[Skin/hair/eye pigmentation 10, blond/brown hair]",Pigmentation phenotype,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
TRADD,Raghunath|STRING_ours,2,False,False,,,True,19485.0,17738.833333333332,False,,,,False,Entrez:8717;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
TRAF2,Raghunath|STRING_ours,2,False,False,,,True,61383.0,54382.166666666664,False,,,,False,Entrez:7186;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
USP9X,STRING_ours|DArcy_STRING,2,False,True,"Intellectual developmental disorder, X-linked 99, syndromic, female-restricted ",Hypopigmentation,True,157530.0,135568.33333333334,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
TSC1,STRING_ours|DArcy_STRING,2,False,True,Tuberous sclerosis 1,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
CASP9,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P55211;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CASP7,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,True,95720.33333333331,70894.66666666667,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
TAB1,Raghunath|STRING_ours,2,False,False,,,True,69488.66666666667,101082.5,False,,,,False,Entrez:10454;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
BRCA2,STRING_ours|DArcy_STRING,2,False,True,"Fanconi anemia, complementation group D1",Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
ADCY9,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
ADCY8,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
ADCY1,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FADS2,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
SRC,Raghunath|STRING_ours,2,False,False,,,True,67390.16666666667,63860.5,False,,,,False,UniProt:P12931;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
SPTLC2,Raghunath|STRING_ours,2,False,False,,,True,93163.16666666669,80961.16666666667,True,1.1,0.027098733,reduces_pigmentation,False,UniProt:O15270;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
SPTLC1,Raghunath|STRING_ours,2,False,False,,,True,84827.83333333333,69124.33333333333,False,,,,False,UniProt:O15269;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
EGR2,STRING_ours|DArcy_STRING,2,False,True,Vogt-Koyanagi-Harada disease,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
SPRED1,STRING_ours|DArcy_STRING,2,False,True,Legius syndrome,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
F7,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P08709;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
F2RL1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P55085;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
EZR,Raghunath|STRING_ours,2,False,False,,,True,930108.3333333334,756855.0,False,,,,False,UniProt:P15311;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
YWHAZ,Reactome|DArcy_STRING,2,False,False,,,True,4647950.0,4682316.666666667,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|pmcid
ADCY2,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
ADCY3,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
DDB2,STRING_ours|DArcy_STRING,2,False,True,"Xeroderma pigmentosum, group E",Mixed,True,109309.83333333331,71791.83333333333,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
ADCY7,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
ERCC1,STRING_ours|DArcy_STRING,2,False,True,"Xeroderma pigmentosum, variant type",Mixed,True,18250.5,11238.833333333334,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
EIF2S2,STRING_ours|DArcy_STRING,2,False,True,Dermal melanocytosis,Hyperpigmentation,True,262185.0,319286.6666666667,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
ESCO2,STRING_ours|DArcy_STRING,2,False,True,Roberts-SC phocomelia syndrome,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
ADCY6,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
SMPD2,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:O60906;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
SMPD1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P17405;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
ERCC6,STRING_ours|DArcy_STRING,2,False,True,UV-sensitive syndrome-1,Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
ERCC5,STRING_ours|DArcy_STRING,2,False,True,"Xeroderma pigmentosum, group G",Mixed,True,212881.0,147940.0,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
EIF6,STRING_ours|DArcy_STRING,2,False,True,Dermal melanocytosis,Hyperpigmentation,True,2103166.6666666665,2259350.0,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
ERCC4,STRING_ours|DArcy_STRING,2,False,True,"Xeroderma pigmentosum, group F",Hyperpigmentation,True,65371.166666666664,49739.5,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
ERCC3,STRING_ours|DArcy_STRING,2,False,True,"Xeroderma pigmentosum, group B",Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
ELK1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P19419;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
ERCC2,STRING_ours|DArcy_STRING,2,False,True,"Xeroderma pigmentosum, group D",Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
ENPP1,STRING_ours|DArcy_STRING,2,False,True,Cole disease,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
